,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
0,iss,25544,5.2735833270061,-47.115812957027,413.66363607819,27594.552614004,daylight,4475.0853671692,1686647339,2460108.8812384,23.204724141001,42.759945411849,kilometers
1,iss,25544,6.0368060235796,-46.570955164447,413.55408942522,27595.121018193,daylight,4474.5230886923,1686647354,2460108.881412,23.204733970784,42.69745448365,kilometers
2,iss,25544,6.8501692967117,-45.98787051428,413.444709605,27595.714885847,daylight,4473.9615808412,1686647370,2460108.8815972,23.204744455656,42.630797515941,kilometers
3,iss,25544,7.6119058234549,-45.439211925115,413.34915169452,27596.259883151,daylight,4473.4709584871,1686647385,2460108.8817708,23.204754285015,42.568306587792,kilometers
4,iss,25544,8.4234725751254,-44.851569883066,413.25464712893,27596.828579193,daylight,4472.9856799938,1686647401,2460108.881956,23.204764769434,42.501649620128,kilometers
5,iss,25544,9.2339444847249,-44.261177498244,413.16776838295,27597.384147031,daylight,4472.5395034375,1686647417,2460108.8821412,23.204775253619,42.434992652486,kilometers
6,iss,25544,9.992664550139,-43.704942117664,413.09320329262,27597.893002479,daylight,4472.1565220492,1686647432,2460108.8823148,23.204785082333,42.3725017244,kilometers
7,iss,25544,10.80068312342,-43.10843557798,413.02095651662,27598.422934557,daylight,4471.7854099757,1686647448,2460108.8825,23.204795566065,42.305844756803,kilometers
8,iss,25544,11.556894215407,-42.54597570888,412.96000226443,27598.90766042,daylight,4471.4722754232,1686647463,2460108.8826736,23.204805394355,42.243353828749,kilometers
9,iss,25544,12.362012007811,-41.942296050431,412.90214336331,27599.411778145,daylight,4471.1750176762,1686647479,2460108.8828588,23.204815877661,42.176696693597,kilometers
10,iss,25544,13.165448629789,-41.334493305362,412.85159410991,27599.902532328,daylight,4470.9152945555,1686647495,2460108.883044,23.204826360705,42.11003972606,kilometers
11,iss,25544,13.917033420847,-40.760670846255,412.81076214739,27600.350471154,daylight,4470.7054856935,1686647510,2460108.8832176,23.20483618835,42.04754879807,kilometers
12,iss,25544,14.71685493716,-40.144036392749,412.77410948821,27600.815323431,daylight,4470.5171413602,1686647526,2460108.8834028,23.204846670943,41.980891830592,kilometers
13,iss,25544,15.464821498868,-39.561404964461,412.7461247228,27601.23899739,daylight,4470.3733316067,1686647541,2460108.8835764,23.204856498163,41.918400902644,kilometers
14,iss,25544,16.260533918416,-38.934800340132,412.72296785346,27601.678009983,daylight,4470.2543274788,1686647557,2460108.8837616,23.204866980302,41.851743935203,kilometers
15,iss,25544,17.004408944369,-38.342274704198,412.70742710461,27602.07752052,daylight,4470.1744607569,1686647572,2460108.8839352,23.204876807098,41.789253007303,kilometers
16,iss,25544,17.79549581064,-37.704522203863,412.69730744043,27602.490846783,daylight,4470.1224530386,1686647588,2460108.8841204,23.204887288783,41.722596039906,kilometers
17,iss,25544,18.583985002646,-37.060541178029,412.69371913354,27602.891004491,daylight,4470.1040115728,1686647604,2460108.8843056,23.204897770235,41.655939072533,kilometers
18,iss,25544,19.32070298118,-36.45085731772,412.69615894192,27603.25426008,daylight,4470.1165505446,1686647619,2460108.8844792,23.204907596387,41.593448144696,kilometers
19,iss,25544,20.103736020312,-35.79385776603,412.70480922056,27603.629130741,daylight,4470.1610068062,1686647635,2460108.8846644,23.204918077412,41.52679100976,kilometers
20,iss,25544,20.883722542358,-35.129638737046,412.71954830267,27603.991086907,daylight,4470.236753937,1686647651,2460108.8848495,23.204928558176,41.460134042452,kilometers
21,iss,25544,21.612052220956,-34.500062508568,412.73875060411,27604.318789051,daylight,4470.3354361176,1686647666,2460108.8850231,23.204938383684,41.397643114672,kilometers
22,iss,25544,22.385678310322,-33.820846014159,412.76481545608,27604.656042963,daylight,4470.4693812663,1686647682,2460108.8852083,23.204948863996,41.330986147417,kilometers
23,iss,25544,23.107749874885,-33.176572636811,412.79433207905,27604.960803773,daylight,4470.6210588977,1686647697,2460108.8853819,23.204958689078,41.268495219677,kilometers
24,iss,25544,23.874376264525,-32.480985884479,412.8310643972,27605.273836697,daylight,4470.8098072279,1686647713,2460108.8855671,23.204969168937,41.201838252459,kilometers
25,iss,25544,24.589572339992,-31.820702464115,412.8702589045,27605.556140639,daylight,4471.0111967949,1686647728,2460108.8857407,23.204978993595,41.139347324768,kilometers
26,iss,25544,25.34852023326,-31.107316861889,412.91696028558,27605.845503551,daylight,4471.2511438587,1686647744,2460108.8859259,23.204989473,41.072690357602,kilometers
27,iss,25544,26.103225310167,-30.384166967108,412.96852176393,27606.12288663,daylight,4471.5160434493,1686647760,2460108.8861111,23.204999952171,41.006033390443,kilometers
28,iss,25544,26.806731518986,-29.696986675298,413.02109665351,27606.372206369,daylight,4471.7861298571,1686647775,2460108.8862847,23.205009776185,40.943542462807,kilometers
29,iss,25544,27.59910693612,-28.906948760784,413.08542020438,27606.642411147,daylight,4472.1165442365,1686647792,2460108.8864815,23.205020909838,40.872719288602,kilometers
30,iss,25544,28.339863446275,-28.152050409124,413.1503443798,27606.884919884,daylight,4472.4500138005,1686647808,2460108.8866667,23.205031388308,40.806062321528,kilometers
31,iss,25544,29.029713705214,-27.43396225229,413.21487988102,27607.102055595,daylight,4472.7814570809,1686647823,2460108.8868403,23.205041211664,40.743571393949,kilometers
32,iss,25544,29.760421478785,-26.65652670703,413.28742750347,27607.322960448,daylight,4473.1540136138,1686647839,2460108.8870255,23.20505168968,40.676914426918,kilometers
33,iss,25544,30.485600950569,-25.866812280518,413.36359129265,27607.533016501,daylight,4473.5450998152,1686647855,2460108.8872106,23.205062167463,40.610257459911,kilometers
34,iss,25544,31.160219561966,-25.114902958633,413.43808314597,27607.72028063,daylight,4473.9275607658,1686647870,2460108.8873843,23.205071990175,40.547766532395,kilometers
35,iss,25544,31.873986862012,-24.300111517805,413.52062413391,27607.909928341,daylight,4474.3513017097,1686647886,2460108.8875694,23.205082467505,40.481109565439,kilometers
36,iss,25544,32.58148681546,-23.471698075345,413.60612802313,27608.089368577,daylight,4474.7902018873,1686647902,2460108.8877546,23.205092944627,40.414452430877,kilometers
37,iss,25544,33.238832761133,-22.682275733167,413.68877744329,27608.248524918,daylight,4475.2144000611,1686647917,2460108.8879282,23.205102766694,40.351961503432,kilometers
38,iss,25544,33.933406893585,-21.826137300973,413.77937683996,27608.408838213,daylight,4475.679345351,1686647933,2460108.8881134,23.205113243336,40.285304536528,kilometers
39,iss,25544,34.578136045836,-21.009883551031,413.86640268256,27608.550473999,daylight,4476.1258963161,1686647948,2460108.888287,23.20512306498,40.222813609131,kilometers
40,iss,25544,35.258699672617,-20.124224741935,413.96124125784,27608.692542858,daylight,4476.6124746792,1686647964,2460108.8884722,23.205133541169,40.156156642272,kilometers
41,iss,25544,35.931582114555,-19.222620580133,414.05793135054,27608.825547667,daylight,4477.1084862552,1686647980,2460108.8886574,23.205144017124,40.089499675443,kilometers
42,iss,25544,36.555148578798,-18.362453927998,414.15005611806,27608.942223872,daylight,4477.5810159837,1686647995,2460108.888831,23.205153838123,40.027008748102,kilometers
43,iss,25544,37.212226408456,-17.428577356065,414.24968175494,27609.058360507,daylight,4478.0919512295,1686648011,2460108.8890162,23.205164313625,39.960351781309,kilometers
44,iss,25544,37.820383163799,-16.537305299112,414.3441565364,27609.159654879,daylight,4478.5764045858,1686648026,2460108.8891898,23.2051741342,39.897860854017,kilometers
45,iss,25544,38.460370368071,-15.569348484391,414.44586151761,27609.259847276,daylight,4479.0978621865,1686648042,2460108.889375,23.205184609249,39.831203887269,kilometers
46,iss,25544,39.091007140894,-14.583102751727,414.54830753096,27609.352174114,daylight,4479.6230445696,1686648058,2460108.8895602,23.20519508409,39.76454675293,kilometers
47,iss,25544,39.673399028374,-13.641478720247,414.64482373891,27609.43180689,daylight,4480.1177597383,1686648073,2460108.8897338,23.20520490402,39.702055825693,kilometers
48,iss,25544,40.284830626573,-12.618494503016,414.74806817709,27609.509598123,daylight,4480.6468884191,1686648089,2460108.889919,23.205215378382,39.635398859027,kilometers
49,iss,25544,40.848524789355,-11.641639264792,414.84494366952,27609.576038565,daylight,4481.1433071104,1686648104,2460108.8900926,23.205225197887,39.572907931825,kilometers
50,iss,25544,41.439249408436,-10.580264100128,414.94816032044,27609.640219646,daylight,4481.6721462037,1686648120,2460108.8902778,23.205235671796,39.506250965187,kilometers
51,iss,25544,42.018669801973,-9.4984708424802,415.05104555371,27609.697734919,daylight,4482.1992117408,1686648136,2460108.890463,23.205246145471,39.439593998589,kilometers
52,iss,25544,42.551223116301,-8.4654065467232,415.14701107282,27609.745816548,daylight,4482.6907606957,1686648151,2460108.8906366,23.205255964332,39.377103071449,kilometers
53,iss,25544,43.107492710677,-7.3429943127491,415.24865444644,27609.791102331,daylight,4483.2113209494,1686648167,2460108.8908218,23.205266437554,39.310446104887,kilometers
54,iss,25544,43.651147395179,-6.1991283912343,415.34935424799,27609.830424713,daylight,4483.7269762747,1686648183,2460108.8910069,23.205276910542,39.243789138348,kilometers
55,iss,25544,44.148951408246,-5.107013983179,415.4427247207,27609.862080836,daylight,4484.2050357341,1686648198,2460108.8911806,23.205286728758,39.181298211271,kilometers
56,iss,25544,44.666827163585,-3.9207995283524,415.54102887182,27609.890509277,daylight,4484.7082887851,1686648214,2460108.8913657,23.205297201319,39.114641077161,kilometers
